FID,NAME,HH,pop,hhsize,sexratio,p0_14,p15_64,p65u,curborn,forborn,firstgen,secgen,thirdgen,leave,stay,meanHHinc,GFR,unemploy,partrate,airpolut,badcond,nvrmarr,married,divorced,consuni,area,popdens,CreationDate,Creator,EditDate,Editor,x,y
74,COLON,70,192,2.7,79,0.146,0.651,0.203,0.743,0.257,0.257,0.314,0.429,0.033,0.667,5663,0,0,0,31.9,2.9,35.9,41.7,7.7,7.7,0.218,880.733966145108,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
75,SER'I PAPAYA,559,1779,3.2,66,0.3,0.646,0.054,0.932,0.068,0.069,0.12,0.812,0.018,0.579,3024,66,32.9,55.1,10.5,3.1,67.9,15.1,2.4,8.9,0.946,1880.54972268718,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
76,CONFIANSA,49,134,2.7,113,0.157,0.694,0.149,0.866,0.134,0.134,0.112,0.754,0.04,0.696,4422,0,0,0,22.4,8.2,43.2,34.2,2.7,13.5,0.069,1942.02903415746,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
77,CONSTANCIA,50,119,2.4,105,0.16,0.664,0.176,0.731,0.269,0.269,0.202,0.529,0.089,0.634,3974,0,0,0,30,6.1,38,40,7,3,0.043,2767.44176648062,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
78,SERITU,96,260,2.7,78,0.173,0.592,0.235,0.604,0.396,0.396,0.331,0.273,0.076,0.685,8884,0,4.4,62.8,8.3,2.1,25.1,52.6,8.5,4.7,0.165,1575.7575131426,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
79,CONSTANCIA BIJ EENDRACHT,64,177,2.8,81,0.198,0.588,0.215,0.824,0.176,0.176,0.153,0.67,0.023,0.672,5278,0,0,0,9.4,3.1,34.3,47.1,10,5.7,0.071,2492.95766485799,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
80,SERU MACHU,147,432,2.9,94,0.206,0.69,0.104,0.855,0.145,0.152,0.11,0.738,0.005,0.584,3293,50,14.4,60.6,19.7,16,46.8,25.2,6,16.2,1.964,219.959268297746,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
81,CORONET,85,205,2.4,68,0.22,0.654,0.127,0.663,0.337,0.34,0.22,0.44,0.031,0.68,3279,0,11.7,64.4,13.1,21.2,42.8,29.6,7.9,11.2,0.055,3727.27274746934,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
82,SERU MAHUMA (Romar),525,1532,2.9,83,0.206,0.713,0.08,0.758,0.242,0.242,0.21,0.548,0.05,0.631,6958,37,8.1,65.7,8,1,36.1,43.2,2.8,8.9,2.062,742.96797918289,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
83,COSTA FIRMA,59,148,2.5,83,0.223,0.588,0.189,0.615,0.385,0.388,0.327,0.286,0.014,0.507,6540,0,0,0,13.6,0,27.9,47.7,8.1,9,0.075,1973.33325492011,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
84,QUINTA,76,187,2.5,65,0.203,0.647,0.15,0.747,0.253,0.254,0.195,0.551,0.005,0.658,3244,0,0,0,39.5,9.3,43.1,26.4,9.7,6.3,0.318,588.050335187107,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
85,DAMACOR,163,486,2.7,87,0.171,0.566,0.263,0.559,0.441,0.453,0.317,0.23,0.053,0.664,10769,0,1.8,64.6,6.1,1.9,26.2,50.4,12.3,4.9,0.359,1353.76045557208,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
86,SERU PRETU BIJ JAN LUIS,100,271,2.7,79,0.207,0.664,0.129,0.823,0.177,0.177,0.107,0.716,0.004,0.785,3611,0,6.8,61.9,11.1,14.1,37.2,36.7,3.4,15.9,0.352,769.886367808073,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
87,DE KLUNDERT,59,170,2.9,85,0.241,0.729,0.029,0.753,0.247,0.247,0.171,0.582,0.012,0.798,5254,0,0,0,20.3,5.1,33.3,45.2,2.4,12.7,0.054,3148.14806648815,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
88,SINIA THERESA,67,181,2.7,99,0.243,0.691,0.066,0.626,0.374,0.374,0.098,0.529,0.052,0.6,2964,0,0,0,50.7,16.9,35.3,36.8,3,16.5,0.231,783.549762523232,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
89,DE SAVAAN,93,251,2.7,89,0.207,0.677,0.116,0.713,0.287,0.287,0.131,0.582,0.07,0.643,3812,0,12.3,65.3,25.8,4.3,43.6,33.3,8.7,11.3,0.348,721.264388570227,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
90,SOLEDAD BIJ FRANCIA,38,116,3.1,87,0.224,0.578,0.198,0.664,0.336,0.336,0.172,0.491,0.052,0.759,9471,0,0,0,0,0,22.5,51.7,5.6,14.6,0.054,2148.14809242721,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
91,DE SAVAAN (Volkswoningen),219,659,3,68,0.229,0.651,0.12,0.889,0.111,0.111,0.154,0.735,0.028,0.645,2710,53,22.2,53.1,13.8,1.4,58.7,23,4,8.3,0.121,5446.28102124678,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
92,SOLEDAD BIJ JAN BOOS,75,186,2.5,77,0.194,0.559,0.247,0.746,0.254,0.255,0.185,0.56,0.063,0.568,4678,0,0,0,10.8,5.3,30.8,43.2,6.2,8.9,0.094,1978.72347200872,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
93,DEIN,513,1289,2.5,93,0.189,0.68,0.132,0.533,0.467,0.468,0.265,0.267,0.017,0.523,3325,50,9.6,59.7,10.3,10.8,38.9,38.5,5.5,11,0.545,2365.13754225231,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
94,SOLEDAD BIJ THORENQUEST,18,62,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.2,9.1,43.2,31.8,2.3,18.2,0.036,1722.2222963601,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
95,DOMI ABOU,202,485,2.4,84,0.167,0.668,0.165,0.694,0.306,0.307,0.228,0.465,0.019,0.728,3384,56,7.7,57.7,24.8,9.9,48.7,24.7,8.8,10.9,0.177,2740.11297774112,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
96,SOSIEGU BIJ MONTANA,34,101,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9,2.2,19.2,50,9,7.7,0.041,2463.41456610273,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
97,EENDRACHT,163,461,2.8,89,0.232,0.623,0.145,0.809,0.191,0.193,0.188,0.619,0.011,0.596,4029,63,7.8,57.6,26.1,8,38.8,38,6.7,9.3,0.137,3364.96363833727,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
98,SOSIEGU BIJ WATERLOO,33,100,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9.1,36,32,4,14.7,0.071,1408.45065811186,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
99,ESPERANSA BIJ SALSBACH  (Goede Hoop),293,769,2.5,91,0.146,0.638,0.216,0.699,0.301,0.303,0.245,0.452,0.026,0.757,6878,61,6.4,57.5,7.5,1,32.6,46.7,6.5,5.3,0.269,2858.73612535677,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
100,SOTO,680,2233,3.3,90,0.225,0.655,0.12,0.909,0.091,0.091,0.058,0.85,0.023,0.616,4024,43,14.4,55.5,4.7,9.4,45.8,30.6,5.9,13.2,1.943,1149.25375559886,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
101,ESPERANZA BIJ HERST,54,132,2.4,78,0.159,0.689,0.152,0.773,0.227,0.227,0.273,0.5,0.113,0.621,6284,0,0,0,1.9,7.4,38.9,39.8,5.6,5.6,0.064,2062.49990203651,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
102,ST. JACOB,501,1484,2.9,67,0.228,0.703,0.069,0.864,0.136,0.138,0.173,0.689,0.031,0.51,3578,81,15.5,58.2,18.2,1.4,53.3,26.2,3.7,9.1,2.622,565.980172339716,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
103,ESPERANZA BIJ MINGUELITO,39,98,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2,0,22.8,49.4,3.8,10.1,0.059,1661.01693908431,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
104,ST. JAGO,119,280,2.4,64,0.179,0.643,0.179,0.699,0.301,0.307,0.263,0.431,0.014,0.608,2816,0,13.7,57,8.5,21.1,47.1,26.5,8.5,9.4,0.093,3010.75261677603,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
105,ST. JANSBERG,164,403,2.5,77,0.141,0.667,0.191,0.75,0.25,0.251,0.221,0.529,0.059,0.704,6065,27,6.5,66.5,7.5,6.9,36,37.5,7.1,11.2,0.292,1380.13700658529,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
106,ESPERANZA BIJ WATERLOO,86,250,2.9,87,0.236,0.66,0.104,0.848,0.152,0.153,0.129,0.718,0.037,0.653,4113,0,8.8,53.4,17.4,10.6,38.9,35.8,4.7,15.3,0.249,1004.0160724285,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
107,FANTANJA,17,46,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,17.6,41,30.8,5.1,17.9,0.041,1121.95118852204,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
108,ST. THOMAS,42,105,2.5,94,0.143,0.629,0.229,0.8,0.2,0.2,0.133,0.667,0.048,0.673,4125,0,0,0,11.9,0,24.4,52.2,10,2.2,0.056,1874.99994212496,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
109,FLEUR DE MARIE,74,156,2.1,93,0.154,0.641,0.205,0.526,0.474,0.487,0.27,0.243,0.027,0.714,2937,0,0,0,12.7,31.5,39.8,35.2,5.5,9.4,0.065,2400.00008803148,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
110,ST. WILLIBRORDUS,240,588,2.5,85,0.192,0.646,0.162,0.63,0.37,0.37,0.095,0.535,0.069,0.692,10180,54,9.1,57.7,6.1,4.3,30.7,41.9,6.9,11.2,2.477,237.383932358811,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
111,STA. CATHARINA,320,862,2.7,99,0.22,0.722,0.058,0.655,0.345,0.345,0.25,0.405,0.069,0.552,8022,30,2.6,73.8,3.1,0,26.3,52.2,2.1,13.3,6.648,129.663061171295,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
112,FORTUNA ABOU,105,250,2.4,112,0.192,0.648,0.16,0.831,0.169,0.169,0.112,0.719,0.053,0.728,3068,0,10.5,61.4,13.5,9.8,47,33.5,3.5,10,0.346,722.543381976295,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
113,FORTUNA ARIBA,83,210,2.5,88,0.21,0.69,0.1,0.865,0.135,0.135,0.159,0.707,0.045,0.609,4691,0,9.7,68.1,8.4,6,36.3,29.4,4.4,21.9,0.402,522.388046689118,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
114,STA. HELENA,273,709,2.6,78,0.197,0.639,0.164,0.78,0.22,0.221,0.219,0.56,0.018,0.71,4014,63,14.2,57.1,73.9,7,44,27.2,7,10.8,0.283,2505.30042089726,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
115,FRANCIA,170,419,2.5,74,0.136,0.609,0.255,0.678,0.322,0.322,0.322,0.356,0.043,0.542,10134,0,3.5,54.7,5.3,2.4,26.8,56.3,5.1,5.1,0.369,1135.50139243078,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
116,STA. MARIA,45,214,2.7,86,0.098,0.822,0.079,0.745,0.255,0.257,0.129,0.614,0.029,0.756,4829,0,0,0,13.3,22.7,69.9,20.2,2.7,3.3,0.188,1138.29791131685,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
117,FUIK,279,838,3,89,0.202,0.681,0.117,0.833,0.167,0.168,0.13,0.702,0.038,0.761,4570,18,12.1,60.7,8.4,10.2,43.8,32.8,4.9,14.3,1.877,446.457118538048,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
118,STEENRIJK,610,1604,2.6,82,0.183,0.643,0.173,0.743,0.257,0.258,0.244,0.498,0.101,0.584,4488,45,12.2,57,7.3,3.6,43.5,28.5,8.3,9.2,0.562,2854.09264534864,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
119,GATU,269,804,2.9,93,0.236,0.68,0.083,0.815,0.185,0.186,0.153,0.661,0.019,0.546,3414,75,12.7,64.7,21.6,8.4,36.2,40.4,2.5,11.9,2.461,326.696469409278,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
120,STENEN KORAAL,870,2360,2.7,90,0.207,0.656,0.136,0.817,0.183,0.183,0.145,0.672,0.039,0.678,4395,38,9.8,59.1,10.8,9,39.6,33.3,6.6,12,1.978,1193.1243410116,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
121,GIBRALTAR,138,430,3.1,71,0.242,0.698,0.06,0.874,0.126,0.126,0.152,0.722,0.043,0.643,3445,66,25.1,59.8,46.4,1.5,61.8,21.8,4.4,6,0.126,3412.69835780928,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
122,SUCASA,99,230,2.3,92,0.152,0.709,0.139,0.782,0.218,0.218,0.153,0.629,0.058,0.556,3752,0,9.2,61.5,85.9,6.1,48.7,26.5,8.5,8.5,0.115,1999.99996371891,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
123,GIROUETTE,159,434,2.7,91,0.276,0.627,0.097,0.619,0.381,0.382,0.34,0.278,0.125,0.435,9728,39,4,71,10.1,1.3,17.8,57.9,4.3,9.9,0.471,921.443764249829,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
124,MUIZENBERG BIEU,169,429,2.5,100,0.135,0.613,0.252,0.749,0.251,0.251,0.253,0.496,0.029,0.631,4779,0,9.5,53.9,7.7,4.7,33.9,37.4,10.7,8.5,0.407,1054.05404046994,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
125,TERA CORA,1208,3547,2.9,87,0.21,0.708,0.083,0.839,0.161,0.162,0.126,0.711,0.022,0.636,5398,54,9.7,63.6,4.1,2.5,38.4,41.1,4.1,9.9,1.912,1855.12558038154,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
126,GOEDE HOOP BIJ HULANDA,85,202,2.4,94,0.134,0.629,0.238,0.677,0.323,0.323,0.389,0.288,0.054,0.627,7620,0,3,57.1,4.7,2.4,29.2,46.4,9.5,7.7,0.325,621.538484336357,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
127,GORA,78,183,2.3,74,0.153,0.694,0.153,0.727,0.273,0.273,0.12,0.607,0.028,0.588,4323,0,15,64.5,20.5,9,43.8,35.3,4.6,8.5,0.135,1355.55550169062,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
128,THORENQUEST,27,67,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.1,20.8,44.4,29.6,5.6,7.4,0.076,881.578975715714,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
129,GRINOLI,31,72,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3.2,31.1,36.1,6.6,16.4,0.045,1599.99993642171,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
130,"CHECHE (De Hoop)
",30,74,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,0,27.3,47.3,7.3,10.9,0.108,685.185167412127,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
131,GROOT DAVELAAR,57,140,2.5,67,0.107,0.629,0.264,0.607,0.393,0.396,0.288,0.317,0.029,0.696,7088,0,0,0,5.4,8.8,40.7,39,13,1.6,0.286,489.510466658497,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
132,TUCACAS,25,87,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32.8,44.8,7.5,11.9,0.103,844.660193197171,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
133,GROOT KWARTIER ZUID,40,126,2.6,84,0.143,0.524,0.333,0.587,0.413,0.416,0.256,0.328,0.033,0.719,7241,0,0,0,0,1.8,28.6,48.6,11.4,4.8,0.147,857.142857837955,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
134,VAN ENGELEN,228,534,2.3,78,0.184,0.62,0.197,0.636,0.364,0.364,0.319,0.317,0.035,0.576,8520,61,4,62.4,8,0.9,21.9,52.6,9.1,8.4,0.432,1236.11107904755,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
135,GROOT PISCADERA,240,749,2.7,94,0.124,0.784,0.092,0.721,0.279,0.28,0.182,0.538,0.141,0.602,8385,40,7.8,66.4,10.5,2.5,39.9,40.7,3.3,9.3,1.371,546.316536736372,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
136,VEERIS,284,787,2.8,84,0.219,0.658,0.123,0.826,0.174,0.175,0.147,0.678,0.064,0.612,3991,25,12.7,58.7,72.7,12.4,39.7,33.4,7,11.9,3.815,206.290953655554,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
137,GROTE BERG,289,841,2.9,94,0.264,0.687,0.049,0.608,0.392,0.394,0.167,0.439,0.144,0.537,9767,46,5.2,68.5,13.6,0.4,22.6,55.9,1.9,16,6.773,124.169500866305,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
138,VERGENOEGING,57,177,3.1,79,0.232,0.616,0.153,0.831,0.169,0.169,0.186,0.644,0.057,0.586,4492,0,0,0,8.8,3.5,31.8,41.7,6.8,17.4,0.14,1264.28570890305,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
139,HAMBER,20,60,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,25,52.9,35.3,7.8,0,0.068,882.35289322464,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
140,VERGENOEGING BIJ KOLONCHI,41,115,2.8,72,0.183,0.678,0.139,0.617,0.383,0.383,0.296,0.322,0.048,0.75,8346,0,0,0,12.2,2.7,34.1,42.9,6.6,7.7,0.086,1337.2092569129,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
141,VERS,97,283,2.9,78,0.226,0.622,0.152,0.829,0.171,0.171,0.129,0.7,0.073,0.679,3296,0,10.9,54.3,54.6,9.4,47.6,30,5.7,10,0.123,2300.8129445778,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
142,HANENBERG,232,618,2.7,86,0.212,0.673,0.115,0.771,0.229,0.23,0.158,0.612,0.049,0.604,5833,30,7.8,66.1,6.1,3.5,34.6,39.3,5.1,13.2,0.746,828.418239564813,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
143,VETTER,59,139,2.4,96,0.201,0.669,0.129,0.775,0.225,0.225,0.159,0.616,0.015,0.562,3970,0,0,0,10.5,10.2,44,32.1,7.3,10.1,0.236,588.983047277343,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
144,HARMONIE,63,159,2.5,94,0.195,0.654,0.151,0.855,0.145,0.146,0.082,0.772,0.013,0.597,3477,0,0,0,3.2,7.9,44.8,32.8,6.4,11.2,0.178,893.258411412347,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
